T0	T1	T2	T3	T4	T5	T6	GENE
0.79	0.83	0.48	0.51	0.45	-1.15	-1.92	YOR254C
1.25	0.77	0.93	-0.83	-0.84	0.3	-1.58	YOR271C
1.14	0.94	1.14	-0.7	-0.7	-0.23	-1.58	YOR272W
-1.26	-1.13	-0.47	0.13	-0.07	1.31	1.48	YOR273C
0.94	0.54	0.94	-0.01	0.61	-1.44	-1.58	YOR277C
-0.99	-1.1	-0.06	-0.26	-0.57	1.58	1.39	YOR289W
1.15	0.52	0.78	0.29	0.22	-1.1	-1.86	YOR293W
0.95	0.93	1.33	-0.5	-0.64	-0.48	-1.6	YOR294W
0.29	-0.06	0.26	1.66	0.55	-1.07	-1.62	YOR298W
0.87	0.72	0.9	0.14	0.37	-1.12	-1.87	YOR309C
0.85	0.69	1	0.18	0.14	-0.88	-1.99	YOR310C
0.91	0.65	0.93	0.22	0.18	-0.93	-1.98	YOR312C
-1.31	-0.61	-0.77	-0.32	0.11	1.37	1.53	YOR317W
0.43	0.67	0.72	0.53	0.79	-1.47	-1.67	YOR326W
1.17	1.18	0.71	-0.17	-0.2	-1.41	-1.28	YOR335C
1.17	1.1	0.83	0.07	-0.6	-1.46	-1.11	YOR341W
-1.77	-0.76	-0.29	0.03	0.5	1.53	0.76	YOR347C
1.05	1.15	0.99	-0.35	-0.24	-1.45	-1.16	YOR355W
-1.53	-1.25	0.59	-0.3	0.32	1.41	0.77	YOR358W
1.5	0.98	0.56	-0.21	-0.22	-1.24	-1.36	YOR361C
-1.26	-0.72	-0.88	-0.16	0.17	1.42	1.43	YOR374W
-1.1	-0.7	0.17	-0.18	-1.02	1.73	1.1	YOR386W
-0.7	-0.78	-0.11	-0.54	-0.9	1.21	1.82	YOR391C
-0.99	-0.54	-0.96	-0.45	0.09	1.94	0.91	YPL004C
1.15	0.85	0.95	0.1	-0.23	-1.36	-1.46	YPL012W
1.09	0.89	1.13	-0.28	-0.16	-1.51	-1.16	YPL019C
1.12	0.85	1.12	-0.07	-0.38	-1.07	-1.57	YPL030W
1.27	0.57	1.03	-0.21	-0.03	-0.81	-1.82	YPL032C
1	0.3	1.15	0.24	0.3	-1.58	-1.39	YPL034W
1.06	0.91	1.27	-0.58	-0.51	-0.53	-1.6	YPL043W
1.64	0.77	0.63	-0.62	-1.37	-1.02	-0.02	YPL061W
-1	-1.04	-0.6	-0.73	0.75	1.16	1.45	YPL078C
0.54	0.5	1.31	0.1	0.4	-0.92	-1.93	YPL079W
0.17	0.27	1.63	0.23	0.32	-0.74	-1.88	YPL080C
0.74	0.41	0.7	0.48	0.71	-1.06	-1.98	YPL081W
-1.36	-1.19	0.16	0.02	-0.3	1.43	1.25	YPL087W
0.63	0.52	1.03	0.52	0.39	-1.35	-1.74	YPL090C
1.25	0.93	0.84	0.07	-0.41	-1.14	-1.55	YPL093W
-1.35	-1.02	-0.52	-0.29	0.63	1.52	1.03	Ydr021w
1.12	1.17	0.82	-0.1	-0.53	-0.83	-1.65	YPL126W
0.8	0.83	0.89	-0.13	0.5	-0.99	-1.9	YPL131W
-0.44	-0.44	-0.57	-0.87	-0.77	1.33	1.77	YPL135W
0.85	0.36	0.91	0.63	0.28	-1.12	-1.9	YPL142C
0.92	0.47	1.22	0.12	0.21	-1.59	-1.36	YPL143W
-1.79	-1.02	0.05	0.14	0.6	1.41	0.6	YPL154C
0.88	0.98	0.53	0.5	0.17	-1.43	-1.63	YPL160W
-1.15	-0.68	-0.41	-0.54	-0.29	1.44	1.61	YPL165C
0.94	0.96	0.66	0.18	0.03	-2.04	-0.73	YPL183C
-0.84	-0.81	-0.53	-0.15	-0.74	1.68	1.39	YPL185W
-0.78	-0.94	-0.2	-0.52	-0.65	1.55	1.55	YPL186C
1.05	0.65	0.93	0.2	0.15	-1.25	-1.73	YPL198W
-0.84	-0.75	0	-0.65	-0.54	1.16	1.63	YPL201C
1.06	0.9	0.98	0.01	-0.14	-1.16	-1.65	YPL211W
0.63	0.58	0.96	0.25	0.55	-0.93	-2.03	YPL220W
-0.75	-0.9	-0.55	-0.43	-0.49	1.35	1.76	YPL223C
1.02	1.07	0.87	0.07	-0.3	-1.06	-1.68	YPL226W
-0.98	-0.77	-0.95	0.05	-0.32	1.52	1.46	YPL230W
0.65	1	0.78	0.24	0.35	-1.17	-1.85	YPL243W
0.58	0.82	1.16	0.05	0.3	-1.03	-1.87	YPL244C
0.84	0.8	0.84	0.21	0.39	-1.4	-1.68	YPL245W
1.06	0.94	0.42	-0.13	-0.51	0.33	-2.11	YPL256C
-0.49	-0.57	-0.56	-0.73	-0.64	0.9	2.09	YPL262W
0.75	0.71	1.22	0.11	0.17	-1.43	-1.53	YPL266W
0.97	1.19	0.6	0.06	0.06	-1.19	-1.69	YPR009W
-0.84	-0.93	-0.55	-0.56	-0.21	1.47	1.62	YPR020W
-0.71	-0.45	-0.44	-0.82	-0.63	1.08	1.97	YPR030W
0.99	1.16	0.54	0.05	0.11	-1.05	-1.81	YPR033C
0.95	1.03	0.98	-0.03	-0.1	-1.58	-1.25	YPR034W
0.72	0.52	0.97	0.49	0.42	-1.41	-1.7	YPR044C
0.78	0.75	0.82	0.33	0.42	-1.33	-1.76	YPR074C
-1.15	-1.07	0	-0.33	-0.2	0.82	1.92	YPR098C
0.79	0.5	0.71	0.51	0.52	-1.01	-2.02	YPR102C
1.12	1.14	0.89	-0.29	-0.24	-1.11	-1.51	YPR110C
0.96	0.8	0.94	0.2	-0.03	-1	-1.87	YPR112C
-0.45	-0.39	0.57	0.42	0.5	1.36	-2.01	YPR113W
1.09	1	0.49	0.18	0.09	-0.94	-1.91	YPR125W
1.31	0.84	0.27	-0.09	0.3	-2.01	-0.62	YPR136C
1.06	0.8	0.77	0.09	0.05	-0.74	-2.02	YPR137W
1.38	0.73	1.08	-0.23	-0.45	-1.33	-1.17	YPR143W
1.11	1.17	0.95	-0.41	-0.33	-0.97	-1.51	YPR144C
1.22	0.71	0.73	0.24	0.07	-1.6	-1.37	YPR145W
-0.98	-1.04	-0.7	-0.18	-0.05	1.32	1.64	YPR149W
-0.71	-0.95	-0.55	-0.49	-0.42	1.71	1.4	YPR150W
-1.76	-0.94	1.16	0.36	0.41	-0.35	1.12	YPR156C
-0.85	-0.71	-0.89	-0.41	-0.05	0.9	2	YPR184W
-0.98	-0.86	-1.03	-0.15	0.11	1.33	1.56	YDR258C
0.74	0.9	0.96	0.35	0.08	-1.33	-1.68	YHR098C
